condition,day_index,r2_date,time_bin,time_end_ms,gap_mean
Forget dropout-clean fixed39,2,20260627,38,1170,0.0232945753763826
Forget dropout-clean fixed39,2,20260627,39,1200,0.022796733748115
Forget dropout-clean fixed39,2,20260627,40,1230,0.0226298128563507
Forget dropout-clean fixed39,2,20260627,41,1260,0.0225349787228305
Forget dropout-clean fixed39,2,20260627,42,1290,0.0224585682388977
Forget dropout-clean fixed39,2,20260627,43,1320,0.0223817381522067
Forget dropout-clean fixed39,2,20260627,44,1350,0.0222960353599621
Forget dropout-clean fixed39,2,20260627,45,1380,0.0221956368167322
Forget dropout-clean fixed39,2,20260627,46,1410,0.0220917413331855
Forget dropout-clean fixed39,2,20260627,47,1440,0.0219956812358241
Forget dropout-clean fixed39,2,20260627,48,1470,0.021874134507762
Forget dropout-clean fixed39,2,20260627,49,1500,0.0217404298841753
Forget dropout-clean fixed39,2,20260627,50,1530,0.0216343700869515
Forget dropout-clean fixed39,2,20260627,51,1560,0.0216343700869515
Forget dropout-clean fixed39,2,20260627,52,1590,0.0216343700869515
Forget dropout-clean fixed39,2,20260627,53,1620,0.0216343700869515
Forget dropout-clean fixed39,2,20260627,54,1650,0.0216343700869515
Forget dropout-clean fixed39,2,20260627,55,1680,0.0216343700869515
Forget dropout-clean fixed39,2,20260627,56,1710,0.0216343700869515
Forget dropout-clean fixed39,2,20260627,57,1740,0.0216343700869515
Forget dropout-clean fixed39,2,20260627,58,1770,0.0216343700869515
Forget dropout-clean fixed39,2,20260627,59,1800,0.0216343700869515
Forget dropout-clean fixed39,2,20260627,60,1830,0.0216343700869515
Forget dropout-clean fixed39,2,20260627,61,1860,0.0216343700869515
Forget dropout-clean fixed39,2,20260627,62,1890,0.0216343700869515
Forget dropout-clean fixed39,2,20260627,63,1920,0.0216343700869515
Forget dropout-clean fixed39,2,20260627,64,1950,0.0216343700869515
Forget dropout-clean fixed39,2,20260627,65,1980,0.0216343700869515
Forget dropout-clean fixed39,2,20260627,66,2010,0.0216343700869515
Forget dropout-clean fixed39,2,20260627,67,2040,0.0216343700869515
Forget dropout-clean fixed39,2,20260627,68,2070,0.0216343700869515
Forget dropout-clean fixed39,2,20260627,69,2100,0.0216343700869515
Forget dropout-clean fixed39,2,20260627,70,2130,0.0216343700869515
Forget dropout-clean fixed39,2,20260627,71,2160,0.0216343700869515
Forget dropout-clean fixed39,2,20260627,72,2190,0.0216343700869515
Forget dropout-clean fixed39,2,20260627,73,2220,0.0216343700869515
Forget dropout-clean fixed39,2,20260627,74,2250,0.0216343700869515
Forget dropout-clean fixed39,2,20260627,75,2280,0.0216343700869515
Forget dropout-clean fixed39,2,20260627,76,2310,0.0216343700869515
Forget dropout-clean fixed39,2,20260627,77,2340,0.0216343700869515
Forget dropout-clean fixed39,2,20260627,78,2370,0.0216343700869515
Forget dropout-clean fixed39,2,20260627,79,2400,0.0216343700869515
Forget dropout-clean fixed39,2,20260627,80,2430,0.0216343700869515
Forget dropout-clean fixed39,2,20260627,81,2460,0.0216343700869515
Forget dropout-clean fixed39,2,20260627,82,2490,0.0216343700869515
Forget dropout-clean fixed39,2,20260627,83,2520,0.0216343700869515
Forget dropout-clean fixed39,3,20260628,3,120,0.0874966911680997
Forget dropout-clean fixed39,3,20260628,4,150,0.1106769354540968
Forget dropout-clean fixed39,3,20260628,5,180,0.1160913755852765
Forget dropout-clean fixed39,3,20260628,6,210,0.1446815915121049
Forget dropout-clean fixed39,3,20260628,7,240,0.1495873765655935
Forget dropout-clean fixed39,3,20260628,8,270,0.143929680905121
Forget dropout-clean fixed39,3,20260628,9,300,0.1534623356287945
Forget dropout-clean fixed39,3,20260628,10,330,0.1582435890802296
Forget dropout-clean fixed39,3,20260628,11,360,0.1535012726144138
Forget dropout-clean fixed39,3,20260628,12,390,0.1495047653203376
Forget dropout-clean fixed39,3,20260628,13,420,0.1468461970256505
Forget dropout-clean fixed39,3,20260628,14,450,0.144776286948803
Forget dropout-clean fixed39,3,20260628,15,480,0.1389791077756491
Forget dropout-clean fixed39,3,20260628,16,510,0.1338280530194232
Forget dropout-clean fixed39,3,20260628,17,540,0.1297846197771411
Forget dropout-clean fixed39,3,20260628,18,570,0.128721394413055
Forget dropout-clean fixed39,3,20260628,19,600,0.1277927966998745
Forget dropout-clean fixed39,3,20260628,20,630,0.1263913756853141
Forget dropout-clean fixed39,3,20260628,21,660,0.1259299893119396
Forget dropout-clean fixed39,3,20260628,22,690,0.1261194688537329
Forget dropout-clean fixed39,3,20260628,23,720,0.1276514740978236
Forget dropout-clean fixed39,3,20260628,24,750,0.1298493074767155
